开发者,仓库地址,教务系统类型,学校
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/湖北交通职业技术学院_有ajax,新正方,湖北交通职业技术学院_有ajax
SkyDreamLG,https://github.com/SkyDreamLG/HUAT-Curriculum-Introduction,自研,湖北汽车工业学院
SkyDreamLG,https://gitee.com/SkyDreamLG/HUAT-Curriculum-Introduction,自研,湖北汽车工业学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/湖北文理学院,强智,湖北文理学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/湖北文理学院,强智,湖北文理学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/华中农业大学,新正方,华中农业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/个性化正方/华中农业大学-本研一体化,正方,华中农业大学_本研教学一体化
Matthew Perez,https://github.com/eric-gitta-moore/hnie-ai-mi-timetable,强智,湖南工程学院
ceresOPA,https://github.com/ceresOPA/MI_AI_Course_Schedule,强智,湖南工业大学
Kevin Z,https://github.com/zknb-666/HUSE-AiSchedule,强智,湖南科技学院
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,湖南理工职业技术学院
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,湖南理工职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/手机端/湖南软件职业技术学院,强智手机端,湖南软件职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/湖南商务职业技术学院,强智,湖南商务职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/湖南商务职业技术学院,强智,湖南商务职业技术学院
铃音yuy,https://github.com/imshixin/AiSchedule,青果,湖南信息职业技术学院
铃音yuy,https://github.com/imshixin/AiSchedule,强智,湖南有色金属职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/湖南中医药,强智iframe,湖南中医药
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/URP教务/华北理工大学,URP,华北理工大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/华北水利水电,青果,华北水利水电
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/华北水利水电_旧版,青果,华北水利水电_旧版
铃音yuy,https://github.com/imshixin/AiSchedule,自研,华东交通大学
Haskely,https://github.com/Haskely/AISchedule-ECNU,自研,华东师范大学_研究生系统
